,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T09:30:46.000Z,"Portland, OR",Aborion is murder. Period. Body parts of babies are sold at alarming rates. They crush the skulls and tear the baby apart. Please 'splain how that's NOT murder? #adoptionistheoption #stopkillingbabies https://t.co/vFLAFqt9yp,-0.9929797053337097,Strongly Negative
1,2022-11-23T20:38:18.000Z,"California, USA","Americans that fight so hard for this right to kill a helpless voiceless
baby!!
The karma that follows you day to day will always be a reminder of your heartless soul and murderous heart..
Hope it suites you!!
@womensmarch #stopkillingbabies #banbortion https://t.co/Pi2QaeUAvI https://t.co/yuDYGpkYAf",0.9971768856048584,Strongly Positive
